chunk,Question,Answer,Cluster_labels,index
"Molecular Dynamics SimulationsFigure shows the steps required to set up a QUBE protein force field for a MD simulation. As in Section 2.1, the ONETEP linear-scaling DFT software is used to compute the ground state electron density of the five proteins, and assign the charge and Lennard-Jones parameters from the partitioned atomic electron densities. Consistent with the QUBE small molecule approach, every atom in the protein is assigned bespoke non-bonded parameters derived from the quantum mechanical electron density. To model polarization effects in the condensed phase, the electron density is computed first in vacuum, then using an implicit solvent model with a dielectric constant of 80. The iPol approach used in AMBER ff15ipq is then employed, with all non-bonded parameters set halfway between their vacuum and condensed phase values. The purpose of this approach, as well as overcoming issues associated with closing of the electronic band gap in large system sizes, is to account for electrostatics and induction in the condensed phase in an effective manner using a fixed point charge force field. Typical computational requirements for a QM calculation on a small protein (≈ 1000 atoms) are approximately 2000 cpuhrs. In order to provide a consistent and computationally efficient approach to assigning the non-bonded parameters, we recommend minimizing the experimental structure using a standard transferable force field in explicit water prior to the DFT calculation. In this study, we used the OPLS-AA/M force field for the initial minimization. Following non-bonded parameter assignment, bond, angle and torsion parameters were assigned as described in Section 2 based",What are the typical computational requirements for a QM calculation on a small protein?,Approximately 2000 cpuhrs,"['Quantum and theoretical chemistry', 'Unclassified']",
"ConclusionHere we developed an inexpensive substrate that is compatible with both single-cell Raman spectroscopy and the chemistries that are often used for biomaterial microarray fabrication. The Raman spectra of cells on functionalized PA gels attached to our custom substrates were comparable to those acquired from commercial protected gold mirrors. The quality of the Raman spectra acquired from individual, living cells on these custom substrates allowed us to accurately identify the differentiation states of primary murine cells from the two most immature HSC populations using PLS-DA of single-cell Raman spectra. Thus, the inexpensive custom Raman-compatible substrate developed herein brings us a step closer to the construction of a microarray screening platform for the non-invasive screening of stem cell fate decisions elicited by extrinsic cues. Such a platform would likely facilitate the expansion of HSCs in vitro for clinical applications. These substrates may also be employed to construct microarray platforms for noninvasively screening the dynamic responses of other types of stem cells to stimuli using Raman spectroscopy. Overall, the ability to trace stem cell response to the environment over time may yield information that complements that acquired with existing approaches used to study stem cell biology.organelle-specific proteins, CHO-K1 cells (CHO, ATCC®, CCL-61 TM ) were transfected with a plasmid DNA expression clone for human RAB9A with N-terminal HaloTag ® (RAB9A-Halo) and hygromycin resistance gene (GeneCopoeia), and a second plasmid DNA expression clone for amino acids 1-81 of human B4GALT1 with C-terminal SNAP-tag ® (B4GALT1-SNAP) and neomycin resistance gene (GeneCopoeia). DNA plasmid solution was prepared by incubating 2.5 g of each DNA Plasmid and 7.5 L of EndoFectin Max",How does the quality of the Raman spectra from cells on custom substrates compare to those from commercial protected gold mirrors?,The Raman spectra of cells on custom substrates are comparable to those from commercial protected gold mirrors.,"['Biomedical engineering and technology', 'Regenerative medicine']",
"Computational MethodsA. Procedure. MD simulations were performed using the polarizable AMOEBA force field, which was developed in part to describe aqueous solvation of inorganic ions. AMOEBA hydration energies compare favorably to quantum chemistry results for ion-water clusters as well as to experimental estimates of single-ion solvation energies. Parameters for CN -, Cl -, Br -, I -, and SO 2- 4 were taken from previous literature, 96,101 but for the present work we extended the parameterization of AMOEBA to include NO - 3 , NO - 2 , ClO -, ClO - 2 , ClO - 3 , ClO - 4 , OCN -, SCN -, CO 2- 3 , SO 2- 3 and PO 3- 4 . (The parameterization follows an established protocol 102 that is described in Section S1.1 of the Supporting Information.)Simulations were performed in the N V T ensemble using a 31.3 Å × 31.3 Å × 31.3 Å periodic simulation cell containing 1,024 water molecules and a single ion, representing solvation in isotropic bulk water. The air/water interface was modeled using a 31.3 Å × 31.3 Å × 156.7 Å periodic slab. All simulations correspond to a liquid density of 0.997 g/cm 3 and were performed at T = 298 K. Convergence tests (Section S1.2) indicate that radial distribution functions (RDFs) and first-shell coordination numbers are unchanged even in much smaller unit cells, e.g., 18.8 Å × 18.8 Å × 94.0 Å for the slab simulations. These RDFs are generally in good agreement with published work, where available; see Section S1.2 for a discussion. MD simulations were performed using the Tinker-HP software. We use a",Why was the AMOEBA force field developed?,The AMOEBA force field was developed in part to describe aqueous solvation of inorganic ions.,"['Quantum and theoretical chemistry', 'Theoretical methods']",
"In vitro pcDH characterization.UV/vis absorption spectra and time-dependent absorption changes were recorded on a UV-2450 spectrophotometer (Shimadzu, Tokyo, Japan) with the slit width set to 1 nm. pcDH (20 µM) was incubated at 37 °C for 1 h in 100 mM HEPES-NaOH buffer (pH 7.4) containing 100 mM NaCl and 1% DMSO before the measurement. For the photoisomerization analysis of pcDH, light irradiation was performed using a xenon light source (MAX-303, Asahi Spectra Co., Ltd., Tokyo, Japan) equipped with bandpass filters (330/10, 365/10, 394/10, 440/10, 450/10, 488/10, 515/10, and 560/10) at room temperature (5.0 mW cm -2 ).High-performance liquid chromatography (HPLC) analyses were performed with an Inertsil ODS-3 column (4.6 mm × 250 mm, GL-Science, Tokyo, Japan) using an HPLC system comprising a pump (PU-2080, JASCO, Tokyo, Japan) and a detector (MD-2010, JASCO), and the absorbance was monitored at 264 and 414 nm, which were isosbestic points of pcDH in the eluent. Eluent A was composed of 0.1% formic acid in water. Eluent B was composed of 0.1% formic acid in acetonitrile. pcDH (100 µM) was incubated at 37 °C for 1 h in 100 mM HEPES-NaOH buffer (pH 7.4) containing 3% DMSO before the measurement. Light irradiation was performed using a xenon light source at room temperature (5.0 mW cm -2 ).The binding affinities of TMP-Fl and pcDH were determined using fluorescence polarization recorded on a multimode plate reader (Nivo, PerkinElmer, Waltham, MA, USA). The excitation and emission wavelengths were set to 480/30 and 530/30 nm, respectively. To determine the dissociation constant of the eDHFR-TMP-Fl complex (Kd,L), a mixture of eDHFR, TMP-Fl (1.5 nM), and NADPH (5.0 µM) was incubated at 37 °C for 15 min in 100 mM HEPES-NaOH buffer (pH 7.4) containing 100 mM NaCl before the measurements. The Kd,L value was determined from the plot obtained using Equation (1).P = Pmin +",Why were the binding affinities of TMP-Fl and pcDH determined using fluorescence polarization with specific excitation and emission wavelengths?,"The binding affinities of TMP-Fl and pcDH were determined using fluorescence polarization with specific excitation and emission wavelengths to accurately measure the interaction between these molecules under controlled conditions, which helps in understanding their binding properties and potential biological relevance.","['Biomedical engineering and technology', 'Regenerative medicine']",
"complexes for both cycles occurred in two steps, each step with the same forward and reverse rate constant (k+1 and k-1, respectively). The model was unable to allow for random versus ordered sequential steps in the formation of the ternary complexes owing to a limit in the software on the number of coupled parameters. Yet incorporating random sequential steps into the model (ie.binding of first of either IIaP or IIb to DNA-I) and simulating the results using the same values of k+1/k-1 resulted in a very similar kinetic profile (Figure ). Additionally, we assumed the same forward and reverse rate constants (k+1 and k-1, respectively) for the formation of the Ia:IIaP and IbP:IIb that give rise to the background reaction. We also constrained the background reaction between the primer duplexes Ia:IIaP and IbP:IIb to form DNA-I:IIaP:IIb to have a rate constant value of 0 in our kinetic model based on the results from our ligation experiments (Figure ). From the global fit, the rate constant for the ligation steps from the kinetic model (kcat) for nicked duplexes that contain an abasic group was 0.3 ± 0.1 s -1 , which is of similar magnitude to the reported kcat for the ligation of DNA strands without an abasic group using T4 DNA ligase (0.57 ± 0.11 s -1 ). 50 ",How does the rate constant for the ligation of nicked duplexes that contain an abasic group compare to the rate constant for the ligation of DNA strands without an abasic group using T4 DNA ligase?,The rate constant for nicked duplexes that contain an abasic group is smaller than the rate constant for the ligation of DNA strands without an abasic group using T4 DNA ligase.,"['Catalysis', 'Enzymatic catalysis']",
"Results and discussionThe results indicate that in most cases QAPs provide enough information to yield predictions more accurate than the baseline. Among designed QAPs, spQAPs proved to be the most informative, thus this type of representation was investigated the most. It appears that in some cases enriching atom pairs with information derived from quantum chemistry improves the accuracy of the models relative to traditional atom pairs.Considering regression tasks, based on figures 1 and 2 representing R 2 and RMSE respectively, the overall impression is that the best models' performance is achieved with molecular descriptors, then spQAP and then unmodified atom pairs. Only in the case of predicting pIC50, the most informative molecular representation were atom pairs. Another exception was ionization energy, as Morgan fingerprints and RDKit fingerprints were better suited to create structure-property relationships.In order to gain more insight into the differences in metrics obtained with spQAP and atom pairs, the relative metrics were calculated as the ratio of metric value obtained with spQAP to the value obtained with atom pairs minus 1. The ratio was calculated for each cross validation fold and visualized in figures 3 and 4. The quantum modification of atom pairs caused an average value of R 2 increase from 0.5% to 6% and the RMSE decreased about 0.5% to 5% depending on the predicted property. In the case of predicting pIC50, the average decrease of R 2 was 2% and the RMSE increased by about 3%. tors and RDKit fingerprints. The phenomenon may result from the imbalanced nature of the BBBP and ClinTox datasets. Although ROC AUC is widely used in evaluating classifiers, there are reports that it may be misleading when the dataset is imbalanced. To complement the results, an U Mann-Whithney test was applied to assess whether the results of metrics vary",How do the changes in R2 and RMSE values compare when using spQAP versus atom pairs?,"The quantum modification of atom pairs, represented by spQAP, caused an average R2 increase from 0.5% to 6% and a decrease in RMSE by about 0.5% to 5%, depending on the predicted property.","['Quantum and theoretical chemistry', 'Quantum effects']",
that combines previously developed machine learning models with DFT to repurpose synthesized MOFs with moderate thermal stability that have not yet been studied experimentally for direct methane to methanol catalysis.We used DFT to compute reaction energetics and show that LFERs fail to generalize across diverse chemical spaces of MOFs. We identified promising MOFs for future experimental studies by using this workflow to first select MOF candidates with good reaction energetics and then compute their full energy landscapes to confirm both their thermodynamic and kinetic feasibility for methane to methanol catalysis.,What is the feasibility of MOFs with poor reaction energetics for methane to methanol catalysis?,MOFs with poor reaction energetics are less likely to be feasible for methane to methanol catalysis due to insufficient thermodynamic and kinetic properties.,"['Metal organic frameworks', 'Catalytic applications']",
"this case the undissociated form is more stable by 0.48 kcal/mol and the shuttling barrier amounts to 0.68 kcal/mol. Such a trend is not quantitatively confirmed by the PBE0 data, which predict the dissociated form more stable by 0.88 kcal/mol and a shuttling barrier of 0.95 kcal/mol. However, the PBE0 results confirm that the energy difference between the two structures is limited, therefore we can conclude that the 0 K energy differences involving monodentate HCOOH are all within 1 kcal/mol, irrespective of the level of theory.For the two PBE minima we have calculated the harmonic frequencies (see Table ): in line with the spectrum from the 300 K simulation (Figure ), there are no OH signals at wavenumbers higher than 3000 cm -1 , and the CH modes are found at much higher energy than the acid proton modes. Such low values for the ν(OH) wavenumbers are due to very strong molecule-surface hydrogen bonding, as indicated by the O s -O f separation found for the undissociated and dissociated minima -2.479 Å and 2.463 Å, respectively.",Why are the ν(OH) wavenumbers found to be low in the spectrum from the 300 K simulation?,"The low ν(OH) wavenumbers are due to very strong molecule-surface hydrogen bonding, as indicated by the small O s -O f separation distances found for the undissociated and dissociated minima.","['Quantum and theoretical chemistry', 'Quantum effects']",
"oxidized and the reduced partner during ET, and the effect of anharmonicity. Jortner and coworkers have extended the Marcus model to include quantum effects of ET rates by including the contributions of classical modes (h≥kBT) in the Frank-Condon (FC) factor represented by A. Where,Here, Es, ci, E denotes solvent reorganization energy, the reduced potential surface displacements for the normal modes involved during the ET reaction, free energy of reaction for the ET process, respectively, and  = (kBT) -1 . All other terms carry their usual meanings. The vibrational energy (ħ) is affected by the isotope effect and hence may give rise to KIE in ET rates. The model predicted both normal and inverse KIE depending upon the frequency shifts and the displaced potential energy surfaces of the reacting components.Realizing that some of the thiols (~ 30%) stay protonated in these SAMs and are likely strongly H-bonded to their neighbouring thiolates as indicated by a very weak -SH stretch at 2155 cm -1 relative to 2550 cm -1 in free thiols, the KIE observed here can originate from one of the many possible normal modes at the interface that may be displaced during ET. In particular, very large (>200 cm -1 ) normal H/D isotope effects were observed for C-S-H bending modes and large inverse (10-30 cm -1 ) H/D isotope effects were observed on the C-S stretching modes (both Gauche and Trans). Observation of such strong coupling between these modes and very weak S-H vibration suggests that the thiols at the interface are likely strongly hydrogen bonded to the neighbouring thiolates. It is conceivable that these modes change during electron transfer. Of course, this requires the ET from the electrode to be localized at these Au-SAM units. Such a proposal requires vetting from more sophisticated experiments and calculations.Observation of normal KIE in N3C11SH-C8SH and inverse KIE in N3C16SH-C16SH necessarily entails the geometry of the interface to be",What did the model predict depending on the frequency shifts and the displaced potential energy surfaces of the reacting components?,Both normal and inverse kinetic isotope effects,"['Quantum and theoretical chemistry', 'Quantum effects']",
"ConclusionsIn the research, novel molecular descriptors were introduced by modifying traditional atom pairs to contain information from quantum chemistry. The biggest improvements in validation metrics were obtained when models performed regression tasks -in 5 out of 6 databases there was an improvement in mean values of metrics. U Mann-Whithney test confirmed that in 3 cases the results obtained in cross-validation folds were significantly different. In contrast to quantum chemical calculations of whole molecules and applying them as molecular descriptors, the generation of quantum atom pairs is a rapid and easy process.Although boosting standard atom pairs with quantum information, the number of quantum atom pairs is limited and further research to overcome the problem should be conducted.A possible solution could be the creation of a larger database of quantum properties that would contain molecules build of more chemical elements than QM9-extended-plus database.Other modifications of the quantum atom pairs could be achieved by calculating more than 1 .1a sum of the quantum properties of atom pairs present in the molecule -11 descriptors (sumQAP), 2. a sum of the histograms of the atom pairs -110 descriptors per molecule (hQAP), 3. a vector of quantum properties of atom pairs -11979 values (spQAP) Figure 1 :Figure 2 :12Figure 1: R of regression tasks modelling. The black lines represent the 95% confidence intervals.","Which has more descriptors per molecule, the sum of the quantum properties of atom pairs (sumQAP) or the sum of the histograms of the atom pairs (hQAP)?",The sum of the histograms of the atom pairs (hQAP) has more descriptors per molecule than the sum of the quantum properties of atom pairs (sumQAP).,"['Quantum and theoretical chemistry', 'Quantum effects']",
"Synthesis, Characterization, and Post-Synthetic Modification of a Micro/Mesoporous Zirconium-Tricarboxylate Metal-Organic Framework: Towards the Addition of Acid Active Sites Zr-MOFs are characterized by their high thermal and chemical stability which may facilitate their application in heterogeneous catalysis. However, these well-known microporous materials could see restricted their applications in heterogeneous catalysis if large reactants exceed their pore sizes leading to unavailable surface areas. In this work, we studied the effect of acetic acid concentration, used as the modulator, on the formation of micro/mesoporous materials. This inclusion of a modulator during synthesis and its removal by activation process generate materials with missing linker defects. We showed that an increase in the concentration of modulator leads to an improvement of calculated apparent surface area and a modification of MOF-808 pore structure by producing mesopores at the expense of micropores. Furthermore, we performed a post-synthetic modification of the MOF-808. We observed the expected sulfation of the zirconium oxo-cluster but also the sulfonation of the organic ligand. Also, we found that only the families of mesopores and the larger micropores are interconnected within the material, and the ultramicropores seems to be isolated from the porous structure. The PSM process led to the addition of Lewis and Brønsted acid sites to the MOF-808. Experimental results were complemented by theoretical calculations using Density Functional Theory (DFT) and Ab Initio Molecular Dynamics (AIMD) simulations. The rationalization of the synthesis conditions effect and the postsynthetic sulfation process on final properties presented in this paper can serve as a basis for engineering of defects towards the synthesis of solid acid catalysts from MOF 808.",What are Zr-MOFs characterized by that may facilitate their application in heterogeneous catalysis?,High thermal and chemical stability,"['Metal organic frameworks', 'Catalytic applications']",
"the optimized MOF-808 clusters using the NVT ensemble at 110 °C to match the temperature employed during the synthesis of the materials. The simulations were performed with a time step of 1.0 fs, and the Nose thermostat with a Nosemass parameter of 0.5 was used to control temperature oscillations. This parameter gives a frequency of oscillation corresponding to 176-time steps.2.4.2. Assessment of a sulfated cluster. The inclusion of one sulfate ion into the structure of the MOF-808 material was simulated by replacing the initial acetate ion by a sulfate ion (see Figure ) in the MOF-808 cluster. The procedure was based on a previous literature report . The parameters used for DFT calculations were the same as for the unmodified structure. The dynamical matrix method was used calculating vibrational frequencies. DFT calculations of pyridine adsorption quantified the acid strength of the active sites on the sulfated MOF-808, a basic probe molecule experimentally used to determine the acidity of solid acids . The adsorption of pyridine on the sulfated MOF-808 structure was assessed following Equation . The latter allowed calculating the binding energy of the adsorbed pyridine molecule and was used for the theoretical estimation of the acidity strength . ",Why was the NVT ensemble used at 110 °C in the simulations of MOF-808 clusters?,"The NVT ensemble was used at 110 °C to match the temperature employed during the synthesis of the materials, ensuring that the simulation conditions reflect the actual synthesis conditions.","['Metal organic frameworks', 'Catalytic applications']",
"Synthesis and Optical Property Modulation of Substituted [2,2]-paracylophanes through Through-Space Conjugation 4,16-para-substituted [2,2] paracylophane with naphthalene (PCP⎼NAP), anthracene (PCP⎼ANTH), and tetraphenylethylene (PCP⎼TPE) as a new through-space conjugated dimers were prepared by the Suzuki-Miyaura cross-coupling reaction of 4, 16-diboryl [2,2]  paracyclophane and respective bromo derivative using Pd(PPh3)4 as a catalyst and KOH as a base. The synthesized compounds were fully characterized by NMR, HR-MS and their photophysical, and electrochemical properties were studied. The quantum yield of PCP⎼NAP, PCP⎼ANTH and PCP-TPE were calculated and estimated as 0.21, 0.50 and 0.31 respectively. PCP⎼TPE exhibited aggregation-induced emission characteristics when the water fraction was higher than 50% in the THF/water mixtures. PCP-ANTH and PCP-TPE were also characterized by X-ray Crystallography, obtained single crystal of PCP-ANTH crystalizes in centrosymmetric monoclinic space group C2/c. A single crystal of PCP-TPE crystallizes in the centrosymmetric triclinic space group P⎼1 with one molecule residing on the inversion centre.The observed properties of these π-stacked dimers were compared through through-space Conjugation and conjugation length in the structure.","What were the estimated quantum yields of PCP⎼NAP, PCP⎼ANTH, and PCP-TPE respectively?","0.21 for PCP⎼NAP, 0.50 for PCP⎼ANTH, and 0.31 for PCP-TPE","['Spectroscopy', 'Optical spectroscopy']",
"This is similar to the conformational propensity observed for OPLS-AA/M (53.5 ± 0.2 %). Both force fields also result in a low α-helical population, which is consistent with experimental data. 6: The ψ and φ distribution for the glycine tetrapeptide (all residues are included) using a) the QUBE force field and b) OPLS-AA/M, plotted in the form -log(p ψ,φ ) (where p ψ,φ is the probability of a region being occupied). The lighter regions correspond to low probability areas including conformations that are not sampled during the simulation.The problems associated with using the Karplus parameters for Gly 3 are discussed in Section S9 of the Supporting Information and elsewhere. Therefore, we evaluate the backbone conformations of Gly 3 through its φ/ψ distribution alone. In Figure , the OPLS-AA/M backbone conformational distribution is compared to that obtained using the QUBE force field. A lower α-helical population is occupied by the QUBE force field, but otherwise both distributions are very similar.The MD simulations presented here have demonstrated that the QUBE force field, and the parameterization methods used to create it, are sufficiently accurate to recreate conformational propensities of short, flexible peptides. The errors in the simulated dynamics of these molecules are comparable to OPLS-AA/M, and the φ/ψ distributions demonstrate that the major conformations observed in protein structures are populated. Issues with the transferability of torsional parameters have already been identified from the longer peptide simulations, and are solved by applying regularization. In the following subsection, the performance of QUBE for entire proteins is evaluated to demonstrate the feasibility of applying the methodology to macromolecules and to further understand the","Why is the QUBE force field considered sufficiently accurate for simulating the conformational propensities of short, flexible peptides?","The QUBE force field is considered sufficiently accurate for simulating the conformational propensities of short, flexible peptides because the MD simulations demonstrated that its errors in simulated dynamics are comparable to those of the OPLS-AA/M force field, and it successfully populates the major conformations observed in protein structures.","['Quantum and theoretical chemistry', 'Unclassified']",
"Beyond a closed algebraIn section IV.A.1, a set of four operators , see table , were sufficient to describe the vibrational dynamics in the ground electronic state and its total population. Similarly, for the excited state plus an additional operator describing the coherenceâ † â â † â â2 † and â2 ˆ( ) I t â † â * † ( ) a a l l = 1 I ! N 1 ; 1 â 1 ; 1 â † 1 ; 1 â † â 1between the two electronic states, . We break this ideal situation by allowing the electronic transition dipole between the two electronic states to depend on the nuclear displacement. Physically this is a common situation because the ground and more often the excited states change their electronic configuration as the bond displacement is changing. This results in a stronger correlation between the electronic and nuclear dynamics because, on a fast time scale, the motion of the nuclear wave packets modulates the strength of the electronic coupling. In a stationary picture this results in a broad distribution of the Franck-Condonfactors. An illustration of this effect for the Hamiltonian used in section IV.A.1, Eq. ( ), is shown in Fig. . We use the two initial vibrational states as in section IV.A.1 (Fig. of the SM). In one case, a.u., the initial wave packet is hardly displaced from the equilibrium.In the second case, a.u., the initial wave packet is quite displaced from equilibrium such that the most probable initial vibrational state is v =5. 1.6, giving rise to an effectively dark state at the time when the field is at its maximum (red curve in Fig. ).1 I ! N 2 0.1 d = 0.3 d = † 0 1 ) ˆ) ( ( a a R = + + µ µ µ 0 2.8 = µ 1 0.8 µ = ( ) ( ) † † 0 1 2 ˆ, 1 1 ( ) 1",Why does allowing the electronic transition dipole to depend on nuclear displacement result in a stronger correlation between electronic and nuclear dynamics?,Allowing the electronic transition dipole to depend on nuclear displacement results in a stronger correlation between electronic and nuclear dynamics because the motion of the nuclear wave packets modulates the strength of the electronic coupling on a fast time scale.,"['Quantum and theoretical chemistry', 'Quantum computing']",
"product inhibition by reducing the stability difference between the intermediate complex and the product duplex. This dual role of the enzyme in facilitating rapid ligation and overcoming product inhibition suggests that prebiotic replication might have required interactions with surfaces or aqueous complexes that bound the intermediate complex more strongly than the product duplex, thereby facilitating turnover. LIDA involves two coupled cycles initiated by the introduction of a target template (DNA-I) in the presence of an excess of four fragments, two of which (Ia and IbP) constitute the target sequence after their ligation. In the first step, the DNA-I hybridizes with one of two complementary fragments; the hybridization of the 5'-phosphate abasic containing fragment IIaP to the DNA-I is shown in the scheme in Figure . Next, the other fragment IIb hybridizes forming a ternary complex. The T4 DNA ligase present in the solution can ligate the ternary complex to generate the product duplex. Upon spontaneous dissociation of this product duplex, the newly synthesized DNA-II is liberated, which can template the formation of DNA-I through similar steps (Cycle II, Figure ). Using standard conditions, the amount of fluorescent DNA-I formed from the ligation of the Ia and IbP fragments was monitored as a function of time using polyacrylamide gel electrophoresis (PAGE) according to our previously reported method. The resulting kinetic profiles represent DNA-I formation versus time for a reaction initiated with 14 nM DNA-I (solid circles, 0.01 equivalents with respect to Ia) and a reaction with no initial DNA-I (open circles, Figure ). Such sigmoidal kinetic profiles are indicative of cross-catalysis: the initial exponential growth of the product followed by a reduction",What is the step before spontaneous dissociation of the product duplex in the LIDA process?,T4 DNA ligase ligates the ternary complex.,"['Catalysis', 'Enzymatic catalysis']",
"can be used to extend the temporal reach of atomistic molecular dynamics simulations , timescale deficits of this magnitude typically require the construction of coarse-grained (CG) models, where degrees of freedom deemed unimportant for characterizing the molecular motions of interest are unified into less detailed fundamental components of the system . Thus, computational models of protein aggregation can be used to suggest potential mechanisms for amyloid fibril formation at a higher level of detail than attainable in experiments, while still remaining grounded in experiment due to computed observables remaining consistent with experimentally measured observables . Though not an exhaustive list, some of the leading coarse-grained modeling approaches which have been applied toward studying amyloid fibril formation include: single bead per amino acid models , mid-resolution models (multiple beads per residue) , the UNRES model ], the Martini model , lattice models <ref type=""bibr""",What can computational models of protein aggregation suggest at a higher level of detail than attainable in experiments?,Potential mechanisms for amyloid fibril formation,"['Biomedical engineering and technology', 'Regenerative medicine']",
"Synthesis and modification of zirconium-tricarboxylate MOFsThe solvothermal synthesis of Zr-MOFs was carried out in a 25 mL screw-capped glass jar by heating solutions containing the zirconium salt, the organic linker, and a modulator. ZrOCl2•8H2O (0.2417 g, 0.75 mmol) and the corresponding quantity of modulator were dissolved in 4 mL of dimethylformamide and stirred for 15 min. Trimesic acid (0.0525 g, 0.25 mmol) was dissolved in 4 mL of DMF and added dropwise to the initial solution. The mixture was stirred for additional 10 min. Later on, the mixture was sonicated for 20 min. Subsequently, the mixture was sealed and heated to 108° for 24 h. The as-synthesized Zr-MOFs were filtered and washed once with DMF and twice with both methanol and acetone. The resulting powder was dried at 80°C for 2 h. A selected Zr-MOF was post-synthetically modified adapting the procedure presented by Jiang et al. . Briefly, 50 mg of the synthesized material was treated with 50 mL of 0.05 M sulfuric acid (2.5 mmol) for 24 h. After that, the solution was solvent exchanged with 50 mL of water for three days; with the water being changed once a day, quickly exchanged with 50 mL of acetone and immersed in 50 mL of chloroform for three days. During this time, chloroform was exchanged once per day. Finally, all the synthesized materials were activated overnight at 110 °C under a vacuum pressure of 0.05 mbar. The nomenclature used for the materials followed the convention: ZrBTC-concentration of the modulator. For example, the sample synthesized with 114.6 equivalents of acetic acid; calculated on the basis of zirconium precursor, was denoted as ZrBTC-114.6. Assessment of the physicochemical properties of the materials",What is the step immediately before sealing and heating the mixture in the synthesis of Zr-MOFs?,The mixture was sonicated for 20 minutes.,"['Metal organic frameworks', 'Catalytic applications']",
"compounds. Various cyclic 6-membered alkenyl moieties, including heterocycles were coupled yielding the corresponding thioethers 5aa-5da in 74-86% yields. The ester and amide functionalities in 5ba and 5ca were tolerated. Similar results were obtained for triflates with a fused benzene ring, such as 3,4-dihydronaphthalenyl triflates 5ea, 5fa and 2H-chromene derivative 5ga. Moreover, the 5-and 7-membered cycloalkenyl thioethers 5ha and 5ia as well as the acyclic compound 5ja could be synthesized in excellent yields. The successful coupling of a cholestane-3-one derived triflate 4k highlights the possibility to convert more complex biorelevant structures. (1.1 equiv.), KOAc (1.5 equiv.), Ni (5 mol%), THF (3 mL), rt, 2 h. Yields of isolated products. We showed in our previous work on the sulfenylation of aryl chlorides that the reaction most likely proceeds through a Ni(0)/Ni(II) mechanism and acetate-assisted deprotonation of thiols, which is also plausible for the reaction of triflates (Scheme 5). The activation of the precatalyst, which is structurally related to the product of the oxidative addition, occurs via the same steps as the catalytic reaction (coordination of thiol, deprotonation and reductive elimination of the thioether). Interestingly, the reaction progress comparison of different electrophiles showed that aryl triflates not only have the highest reaction rate, but also the shortest induction period < 5 minutes (Scheme 6). It indicates a fast catalyst activation, which might be explained by a substrate assisted reductive elimination. This underlines the superiority of aryl triflates as electrophiles in this reaction. The representative of alkenyl triflates was converted with lower efficiency, possibly due to higher sensitivity of the compound.",Why do aryl triflates have the highest reaction rate and the shortest induction period in the sulfenylation reaction?,"Aryl triflates have the highest reaction rate and the shortest induction period because they allow for fast catalyst activation, possibly through a substrate assisted reductive elimination, which underlines their superiority as electrophiles in this reaction.","['Catalysis', 'Homogeneous catalysis']",
"Figure 5 :5Figure 5: (a, c) Calculated mixing enthalpy (∆H m ) curves of Al 1-x Tb x N and Al 1-x Pr x N alloys in the wurtzite and rocksalt phases. The critical compositions above which the rocksalt structure is more stable are x c = 0.84 (Tb) and x c = 0.87 (Pr). (c) Temperature (T )composition phase diagram showing the miscibility gap bounded by the spinodal lines for the wurtzite and rocksalt alloys. 25 across a 50.8 mm combinato-rial sample. Consistency checks were performed with X-ray fluorescence (XRF), Rutherford backscattering spectrometry, and Auger electron spectroscopy. EPMA also probes the anion content, revealing a low amount of oxygen incorporation. The average N:O ratio across the combinatorial film is 96:4 atomic % (i.e., Al 0.87 Gd 0.13 N 0.96 O 0.04 to Al 0.76 Gd 0.24 N 0.95 O 0.05 ), consistent with the higher oxophilicity of Gd compared to Al. This level of oxygen incorporation is typical for a new nitride material grown by sputtering, 2,55,56 and while it may affect optoelectronic properties it should not affect the crystal structure.",Why does the combinatorial film exhibit a specific level of oxygen incorporation?,The combinatorial film exhibits a specific level of oxygen incorporation due to the higher oxophilicity of Gd compared to Al. This characteristic leads to a typical oxygen incorporation level for new nitride materials grown by sputtering.,"['Advanced materials and nanotechnology', 'Nanomaterials']",
"Free energy profilesAs the molecule-surface proton-shuttling could be relevant for the overall reactivity of HCOOH on anatase, we calculated the free energy path for this process at 50 K and 300 K (Figure , including also data at 0 K, see below). In both cases we found two free energy minima, corresponding to the dissociated (Figure ) and nondissociated (Figure ) forms. In Figure , the same profiles are reported in units of kT as well. It emerges that at room temperature the shuttling barrier is of the order of kT, hence the shuttling process should be thermally accessible. Indeed, temperature does affect quantitatively the free energy profile: while at 50 K we obtain a free energy barrier of 0.84 kcal/mol, at 300 K the barrier is 1.17 kcal/mol. However, in terms of kT, the barrier amounts to 2.0 kT at 300K while it raises to 8.5 kT at 50 K: hence, overall the shuttling process would be favored upon increasing the temperature. Also, temperature copes to reduce the thermodynamic stability difference between the dissociated and undissociated forms (which is 6.4 kT at 50 K and 0.9 kT at 300 K).Starting from relevant configurations of the 50 K free energy profile, we calculated energy minima (at 0 K) by geometry optimizations at different levels of theory. At the PBE level we found modest energy differences between the two structures, with a preference for the undissociated HCOOH by 0.67 kcal/mol and a (0 K) barrier of 0.75 kcal/mol. We checked also for the effect of dispersion interactions by augmenting the PBE functional with the Grimme D2 correction , in this case the undissociated form is more stable by 0.48 kcal/mol and the shuttling barrier amounts",How does the free energy barrier in terms of kT at 50 K compare to that at 300 K?,The free energy barrier in terms of kT is higher at 50 K than at 300 K.,"['Quantum and theoretical chemistry', 'Quantum effects']",
